Year,River,Salt.Water.Age,Abundance
1963,Igushik,2,89780.95637
1964,Igushik,2,86606.31557
1965,Igushik,2,55008.07599
1966,Igushik,2,26463.59974
1967,Igushik,2,201805.9124
1968,Igushik,2,146731.446
1969,Igushik,2,423397.4281
1970,Igushik,2,223078.288
1971,Igushik,2,49322.40604
1972,Igushik,2,59333.66359
1973,Igushik,2,1342.79977
1974,Igushik,2,315120.3202
1975,Igushik,2,121359.5395
1976,Igushik,2,133103.3821
1977,Igushik,2,22595.27395
1978,Igushik,2,427797.5557
1979,Igushik,2,784254.1644
1980,Igushik,2,532069.899
1981,Igushik,2,281221.6991
1982,Igushik,2,41610.90496
1983,Igushik,2,757343.2136
1984,Igushik,2,24454.47391
1985,Igushik,2,278143.8668
1986,Igushik,2,58741.57193
1987,Igushik,2,113051.2197
1988,Igushik,2,36508.98077
1989,Igushik,2,450484.9121
1990,Igushik,2,209070.1921
1991,Igushik,2,85033.12467
1992,Igushik,2,108262.684
1993,Igushik,2,218979.9752
1994,Igushik,2,186651.9238
1995,Igushik,2,266087.6078
1996,Igushik,2,32083.34478
1997,Igushik,2,105760.425
1998,Igushik,2,177373.6601
1999,Igushik,2,419037.694
2000,Igushik,2,83562.97534
2001,Igushik,2,2733.902956
2002,Igushik,2,139884.4691
2003,Igushik,2,63759.21536
2004,Igushik,2,111695.132
2005,Igushik,2,44204.60868
2006,Igushik,2,242973.9453
2007,Igushik,2,813098.3106
2008,Igushik,2,598222.8648
2009,Igushik,2,343355.3725
2010,Igushik,2,216652.9442
2011,Igushik,2,179574.2689
2012,Igushik,2,68799.98704
2013,Igushik,2,170488.9507
2014,Igushik,2,624532.0431
2015,Igushik,2,508729.3567
2016,Igushik,2,375276.469
2017,Igushik,2,910963.2879
2018,Igushik,2,735582.188
2019,Igushik,2,238594.2724
2020,Igushik,2,563341.4988
2021,Igushik,2,1025609.415
1963,Wood,2,1080246.648
1964,Wood,2,1927890.743
1965,Wood,2,316247.9162
1966,Wood,2,984354.3865
1967,Wood,2,700283.6896
1968,Wood,2,548872.2913
1969,Wood,2,983138.3944
1970,Wood,2,1130850.848
1971,Wood,2,625449.508
1972,Wood,2,633772.316
1973,Wood,2,64703.20029
1974,Wood,2,1774261.011
1975,Wood,2,625608.1496
1976,Wood,2,1005975.75
1977,Wood,2,275109.9549
1978,Wood,2,3448158.887
1979,Wood,2,2233788.595
1980,Wood,2,3201741.29
1981,Wood,2,1893019.495
1982,Wood,2,1330063.557
1983,Wood,2,3387607.083
1984,Wood,2,503835.7613
1985,Wood,2,686455.5425
1986,Wood,2,602965.5122
1987,Wood,2,1965117.052
1988,Wood,2,610750.0075
1989,Wood,2,1464688.837
1990,Wood,2,1289349.376
1991,Wood,2,1640379.87
1992,Wood,2,1940760.236
1993,Wood,2,2659254.808
1994,Wood,2,1146147.12
1995,Wood,2,3049469.793
1996,Wood,2,2445367.904
1997,Wood,2,1795555.022
1998,Wood,2,3130285.911
1999,Wood,2,4852500.791
2000,Wood,2,3222041.368
2001,Wood,2,207515.6217
2002,Wood,2,3234264.511
2003,Wood,2,2439716.398
2004,Wood,2,3680543.364
2005,Wood,2,2289006.925
