ReturnYear,Igushik,Wood,Nushagak,Kvichak,Alagnak,Naknek,Egegik,Ugashik
1963,111855,951698,300237,427548,258599,1161233,1284952,487003
1964,137869,1193639,147916,1063704,285803,1444547,947907,536520
1965,218557,840464,329604,30494587,225495,872837,2104500,1360203
1966,245179,1521730,285103,4885488,223517,1374965,1168628,875222
1967,323722,632728,88252,3792236,237388,911838,812908,283679
1968,239954,891356,176516,3153058,243033,1314709,497327,94418
1969,615222,786466,120776,10208077,226304,1688595,1300309,201224
1970,436711,1440263,560792,18313118,239554,1067670,1163370,865722
1971,259127,1147525,409736,3396293,264531,1459600,922102,783476
1972,111613,684331,61983,1552745,227487,960581,995802,113304
1973,103793,563604,339176,354275,55162,571534,575938,58839
1974,400761,1820647,216799,4682689,227256,1315747,1351112,65194
1975,332510,1381786,898433,14127639,107575,2228563,1317482,462415
1976,254669,992814,631629,2309310,97967,1663187,684598,419932
1977,164247,638732,715350,1499120,131138,1361125,977064,242221
1978,680763,2478819,798433,4494752,634745,914090,992504,86969
1979,1078618,1824841,580961,11922594,796128,1005152,1106335,1769933
1980,2264748,3327119,3983332,24710832,809514,2940786,1261939,3607216
1981,906043,1663504,1396340,2248051,257406,2423026,1027301,1619378
1982,643860,1397746,1082930,1424055,748630,1635017,1424097,1461626
1983,399952,1555994,549479,4591109,371931,1045438,1193564,1198352
1984,230399,1094622,707837,11431079,595771,1392829,1378032,1432731
1985,341450,1016702,601949,7975727,359795,2080062,1519964,1410157
1986,475898,884303,1169038,1252798,622794,2106530,1323277,1225020
1987,313220,1457481,476396,6587354,477883,1194686,1495383,786637
1988,230645,929787,568795,4430724,572583,1144893,1871121,722526
1989,726492,1307270,614015,9618448,724553,1460495,2002000,1922573
1990,690984,1158636,802991,8078508,675394,2509424,2554796,826140
1991,1176535,1320973,604501,4819433,864156,4018947,3125456,2697338
1992,329237,1444709,867224,5412679,702985,1924455,2877151,2523535
1993,466083,1434237,931156,4786574,1128002,1937518,2840900,1751850
1994,707275,1576756,604987,9711447,919544,1318826,2276377,1255001
1995,990050,1652001,339020,11776869,878606,1461903,1809078,1525326
1996,678428,1879530,601805,1717288,896421,1251150,1419975,839609
1997,170712,2251072,476708,1716915,632421,1345262,1727402,853272
1998,352898,2216122,573467,2671554,763525,1397787,1424994,1050577
1999,715146,3647355,361293,7057500,1421844,2026674,1969350,1851491
2000,695084,2791416,508570,2157930,1327117,2462099,1414041,745175
2001,613046,1494321,913150,1284789,809078,4515556,1000659,878529
2002,152529,1964253,374906,803822,852191,2578162,1244194,999106
2003,333073,1579834,688444,1874670,3866827,4651848,1219013,839727
2004,189785,1743718,608103,6017099,5736404,3031301,1658064,946666
2005,515745,1663942,1210853,2665832,4795603,6959478,1895398,889239
2006,496011,4295220,610459,3390507,2035723,4196972,1679350,1090948
2007,687105,1824972,612106,3693444,3105468,6200900,1790950,2880217
2008,1454966,2006660,571675,3338580,2634846,2941209,1583851,718147
2009,865318,1511697,544069,3076999,1117632,1336223,1508460,1475803
2010,939056,3097405,494142,5012550,1439220,1755100,1046082,936327
2011,817742,1316513,479747,2946777,1103957,1531529,1171068,1215915
2012,386897,1154199,484422,5231951,1124274,1205396,1539120,842219
2013,571284,1386360,1018317,2698378,1287165,1194260,1434844,1060301
2014,816075,3121314,642693,5357418,431456,1748085,1474820,659561
2015,1261105,2037829,844199,8536683,6191431,2212241,2325159,1645403
2016,1265954,1526025,750457,5540070,2091724,1942633,2089079,1817006
2017,1069343,5088073,3171559,3951504,2436419,2314975,3034837,1418236
2018,1330661,8631253,1446638,5234166,1764692,4102508,1850628,1400978
2019,658777,2470765,780890,3694368,1120177,4424900,2534448,1591443
2020,649389,2616894,1314290,5266500,2807677,5469386,2681810,1840649
