"","agency","forecaster","retYr","dist","stream","fwA","oA","ret","System"
"1",2,1,1967,325,1,1,3,1162,"Wood"
"2",2,1,1967,325,1,2,3,85,"Wood"
"3",2,1,1967,325,1,2,2,183,"Wood"
"4",2,1,1967,325,2,0,0,0,"Nushagak"
"5",2,1,1967,325,2,1,2,75,"Nushagak"
"6",2,1,1967,325,2,1,3,90,"Nushagak"
"7",2,1,1967,325,2,2,3,18,"Nushagak"
"8",2,1,1967,325,2,2,2,2,"Nushagak"
"9",2,1,1967,325,3,1,3,5,"Igushik"
"10",2,1,1967,325,3,1,2,34,"Igushik"
"11",2,1,1967,325,3,2,3,127,"Igushik"
"12",2,1,1967,325,3,2,2,1,"Igushik"
"13",2,1,1967,324,4,1,3,220,"Kvichak"
"14",2,1,1967,324,4,1,2,142,"Kvichak"
"15",2,1,1967,324,4,2,3,2139,"Kvichak"
"16",2,1,1967,324,4,2,2,1746,"Kvichak"
"17",2,1,1967,324,5,1,2,571,"Naknek"
"18",2,1,1967,324,5,1,3,474,"Naknek"
"19",2,1,1967,324,5,2,2,1095,"Naknek"
"20",2,1,1967,324,5,2,3,532,"Naknek"
"21",2,1,1967,322,7,1,3,151,"Egegik"
"22",2,1,1967,322,7,1,2,79,"Egegik"
"23",2,1,1967,322,7,2,3,540,"Egegik"
"24",2,1,1967,322,7,2,2,1545,"Egegik"
"25",2,1,1967,321,8,1,3,395,"Ugashik"
"26",2,1,1967,321,8,1,2,56,"Ugashik"
"27",2,1,1967,321,8,2,2,404,"Ugashik"
"28",2,1,1967,321,8,2,3,135,"Ugashik"
"29",2,1,1967,326,9,1,3,82,"Togiak"
"30",2,1,1967,326,9,1,2,90,"Togiak"
"31",2,1,1967,326,9,2,3,12,"Togiak"
"32",2,1,1967,326,9,2,2,6,"Togiak"
"33",2,1,1968,325,1,1,3,460,"Wood"
"34",2,1,1968,325,1,1,2,1955,"Wood"
"35",2,1,1968,325,1,2,3,26,"Wood"
"36",2,1,1968,325,1,2,2,95,"Wood"
"37",2,1,1968,325,2,0,0,0,"Nushagak"
"38",2,1,1968,325,2,1,3,248,"Nushagak"
"39",2,1,1968,325,2,1,2,162,"Nushagak"
"40",2,1,1968,325,2,2,2,14,"Nushagak"
"41",2,1,1968,325,2,2,3,16,"Nushagak"
"42",2,1,1968,325,3,1,3,209,"Igushik"
"43",2,1,1968,325,3,1,2,47,"Igushik"
"44",2,1,1968,325,3,2,2,15,"Igushik"
"45",2,1,1968,325,3,2,3,1,"Igushik"
"46",2,1,1968,324,4,1,2,209,"Kvichak"
"47",2,1,1968,324,4,1,3,32,"Kvichak"
"48",2,1,1968,324,4,2,2,96,"Kvichak"
"49",2,1,1968,324,4,2,3,537,"Kvichak"
"50",2,1,1968,324,5,1,3,769,"Naknek"
"51",2,1,1968,324,5,1,2,374,"Naknek"
"52",2,1,1968,324,5,2,3,574,"Naknek"
"53",2,1,1968,324,5,2,2,578,"Naknek"
"54",2,1,1968,322,7,1,3,69,"Egegik"
"55",2,1,1968,322,7,1,2,373,"Egegik"
"56",2,1,1968,322,7,2,2,1109,"Egegik"
"57",2,1,1968,322,7,2,3,542,"Egegik"
"58",2,1,1968,321,8,1,2,405,"Ugashik"
"59",2,1,1968,321,8,1,3,49,"Ugashik"
"60",2,1,1968,321,8,2,2,570,"Ugashik"
"61",2,1,1968,321,8,2,3,26,"Ugashik"
"62",2,1,1968,326,9,1,2,95,"Togiak"
"63",2,1,1968,326,9,1,3,99,"Togiak"
"64",2,1,1968,326,9,2,2,19,"Togiak"
"65",2,1,1968,326,9,2,3,9,"Togiak"
"66",2,1,1969,325,1,1,2,928,"Wood"
"67",2,1,1969,325,1,1,3,568,"Wood"
"68",2,1,1969,325,1,2,3,26,"Wood"
