"","count"
"1",67059.445633465
"2",37267.3997178702
"3",25135.7508312584
"4",48302.3787389203
"5",42999.2616585314
"6",38919.6034597537
"7",24758.2305635563
"8",28656.5323156246
"9",24331.1926657543
"10",46079.6006597355
"11",49620.6118466883
"12",43832.7889202953
"13",47839.5779517613
"14",55303.2925560752
"15",52223.5451220834
"16",63058.5031279821
"17",38418.5802289685
"18",20727.9161498367
"19",20094.8574237843
"20",41917.9906492871
"21",30190.889786459
"22",23144.958201486
"23",17853.3323554732
"24",26811.2514056556
"25",44798.3698186901
"26",40285.740874562
"27",43798.7634965401
"28",46274.333514213
"29",42109.7250881361
"30",41556.1293285251
"31",41331.1745848431
"32",31800.1591237644
"33",31768.3078080711
"34",25737.2292930726
"35",41472.690052525
"36",59938.425870439
"37",52891.1501220491
"38",58218.737258788
"39",63743.1440598871
"40",57043.191048057
"41",58768.8653936401
"42",71204.5616318422
"43",83281.914
"44",54485.107
