"","count"
"1",41481.3128501323
"2",67059.445633465
"3",37267.3997178702
"4",25135.7508312584
"5",48302.3787389203
"6",42999.2616585314
"7",38919.6034597537
"8",24758.2305635563
"9",28656.5323156246
"10",24331.1926657543
"11",46079.6006597355
"12",49620.6118466883
"13",43832.7889202953
"14",47839.5779517613
"15",55303.2925560752
"16",52223.5451220834
"17",63058.5031279821
"18",38418.5802289685
"19",20727.9161498367
"20",20094.8574237843
"21",41917.9906492871
"22",30190.889786459
"23",23144.958201486
"24",17853.3323554732
"25",26811.2514056556
"26",44798.3698186901
"27",40285.740874562
"28",43798.7634965401
"29",46274.333514213
"30",42109.7250881361
"31",41556.1293285251
"32",41331.1745848431
"33",31800.1591237644
"34",31768.3078080711
"35",25737.2292930726
"36",41472.690052525
"37",59938.425870439
"38",52891.1501220491
"39",58218.737258788
"40",63743.1440598871
"41",57043.191048057
"42",58768.8653936401
"43",71204.5616318422
"44",83281.914
