year,pinks,chum
1960,125.06,66.66
1961,182.12,55.63
1962,162.86,59.73
1963,224.24,56.91
1964,146.2,62.47
1965,205.1,54.2
1966,161.12,65.77
1967,175.24,53.37
1968,172.05,52.57
1969,220.78,37.76
1970,132.2,61.6
1971,202.79,56.73
1972,126.23,67.05
1973,158.63,64.47
1974,133.94,63.35
1975,228.27,65.1
1976,199.01,67.69
1977,279.12,60.29
1978,234.1,61.79
1979,319.9,63.79
1980,244.49,70.96
1981,297.88,79.93
1982,223.2,77.9
1983,431.01,80.15
1984,308.77,91.55
1985,326.29,107.14
1986,261.76,108.42
1987,270.33,93.32
1988,212.16,111.96
1989,364.39,99.08
1990,303.04,113.61
1991,486.02,105.3
1992,277.23,92.41
1993,398.59,122.82
1994,453.75,137.42
1995,434.87,146.23
1996,424.25,161.9
1997,401.97,132.95
1998,443.57,134.47
1999,501.07,115.17
2000,381.82,113.95
2001,401.82,133.72
2002,382.89,120.62
2003,466.33,135.54
2004,361.27,143.18
2005,594.47,131.31
2006,344.03,143.56
2007,548.77,130.88
2008,328.17,118.17
2009,657.16,145.5
2010,407.21,131.83
2011,653.76,123.9
2012,435.57,136.25
2013,577.82,146.61
2014,355.85,144.19
2015,549.42,157.21
2016,432,150
2017,513,123
2018,701,140
2019,639,111
2020,315,92
2021,798,85
2022,299,105
