"","count"
"1",319.9
"2",244.49
"3",297.88
"4",223.2
"5",431.01
"6",308.77
"7",326.29
"8",261.76
"9",270.33
"10",212.16
"11",364.39
"12",303.04
"13",486.02
"14",277.23
"15",398.59
"16",453.75
"17",434.87
"18",424.25
"19",401.97
"20",443.57
"21",501.07
"22",381.82
"23",401.82
"24",382.89
"25",466.33
"26",361.27
"27",594.47
"28",344.03
"29",548.77
"30",328.17
"31",657.16
"32",407.21
"33",653.76
"34",435.57
"35",577.82
"36",355.85
"37",549.42
"38",432
"39",513
"40",701
"41",639
"42",315
"43",798
"44",299
